,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
44,0,"(1, 1, 1)",4,0.9736842105263157,0.9111111111111112,1,0.7916666666666666,BNCI2014-004,5,0train
45,1,"(3, 4, 18)",0,0.9819944598337951,0.93,217,0.7083333333333333,BNCI2014-004,5,0train
46,1,"(3, 4, 18)",1,0.9871794871794872,0.8777777777777778,217,0.736111111111111,BNCI2014-004,5,0train
47,1,"(3, 4, 18)",2,0.9959514170040487,0.9333333333333333,217,0.6944444444444445,BNCI2014-004,5,0train
48,1,"(3, 4, 18)",3,0.9932523616734144,0.8111111111111111,217,0.6666666666666666,BNCI2014-004,5,0train
49,1,"(3, 4, 18)",4,0.9858299595141701,0.8777777777777778,217,0.7777777777777778,BNCI2014-004,5,0train
50,0,"(1, 1, 1)",0,0.9618849618849619,0.99,1,0.8531468531468531,BNCI2014-004,6,0train
51,0,"(1, 1, 1)",1,0.972972972972973,0.8555555555555556,1,0.7972027972027972,BNCI2014-004,6,0train
52,0,"(1, 1, 1)",2,0.9831309041835359,0.9444444444444444,1,0.8391608391608392,BNCI2014-004,6,0train
53,0,"(1, 1, 1)",3,0.9669365721997301,0.8333333333333333,1,0.8741258741258742,BNCI2014-004,6,0train
54,0,"(1, 1, 1)",4,0.9838056680161943,0.9222222222222222,1,0.7692307692307693,BNCI2014-004,6,0train
55,1,"(3, 4, 8)",0,0.9972279972279972,0.91,97,0.7132867132867133,BNCI2014-004,6,0train
56,1,"(3, 4, 8)",1,0.9925675675675676,0.8,97,0.6013986013986014,BNCI2014-004,6,0train
57,1,"(3, 4, 8)",2,0.99527665317139,0.9444444444444444,97,0.8041958041958043,BNCI2014-004,6,0train
58,1,"(3, 4, 8)",3,0.9959514170040487,0.9,97,0.6503496503496503,BNCI2014-004,6,0train
59,1,"(3, 4, 8)",4,0.9952766531713899,0.9555555555555555,97,0.6853146853146853,BNCI2014-004,6,0train
60,0,"(3, 4, 16)",0,0.9175329175329175,0.6300000000000001,192,0.6993006993006994,BNCI2014-004,7,0train
61,0,"(3, 4, 16)",1,0.9432432432432433,0.6222222222222222,192,0.8041958041958042,BNCI2014-004,7,0train
62,0,"(3, 4, 16)",2,0.9271255060728745,0.5333333333333333,192,0.46853146853146854,BNCI2014-004,7,0train
63,0,"(3, 4, 16)",3,0.8873144399460189,0.8222222222222222,192,0.6083916083916084,BNCI2014-004,7,0train
