,dataset,subject,session,run,fold,n_blocks,roc_auc_score
176,008-2014,3,session_0,run_0,1,1,0.8633367346938776
177,008-2014,3,session_0,run_0,1,2,0.8863265306122448
178,008-2014,3,session_0,run_0,1,3,0.8784897959183674
179,008-2014,3,session_0,run_0,1,4,0.8729897959183675
180,008-2014,3,session_0,run_0,1,5,0.869765306122449
181,008-2014,3,session_0,run_0,1,6,0.8720510204081634
182,008-2014,3,session_0,run_0,1,7,0.8705408163265306
183,008-2014,3,session_0,run_0,1,8,0.8720408163265306
184,008-2014,3,session_0,run_0,1,9,0.8711632653061224
185,008-2014,3,session_0,run_0,1,10,0.8695612244897959
186,008-2014,3,session_0,run_0,1,11,0.8695408163265306
187,008-2014,3,session_0,run_0,1,12,0.8678775510204082
188,008-2014,3,session_0,run_0,1,13,0.8686632653061225
189,008-2014,3,session_0,run_0,1,14,0.868561224489796
190,008-2014,3,session_0,run_0,1,15,0.8691938775510204
191,008-2014,3,session_0,run_0,1,16,0.869030612244898
192,008-2014,3,session_0,run_0,2,1,0.8795102040816327
193,008-2014,3,session_0,run_0,2,2,0.8930714285714285
194,008-2014,3,session_0,run_0,2,3,0.8875918367346939
195,008-2014,3,session_0,run_0,2,4,0.8871530612244898
196,008-2014,3,session_0,run_0,2,5,0.8877857142857143
197,008-2014,3,session_0,run_0,2,6,0.8868163265306123
198,008-2014,3,session_0,run_0,2,7,0.8851530612244898
199,008-2014,3,session_0,run_0,2,8,0.8842448979591837
200,008-2014,3,session_0,run_0,2,9,0.884061224489796
201,008-2014,3,session_0,run_0,2,10,0.8855102040816326
202,008-2014,3,session_0,run_0,2,11,0.8853673469387755
203,008-2014,3,session_0,run_0,2,12,0.8854183673469388
204,008-2014,3,session_0,run_0,2,13,0.8855612244897959
205,008-2014,3,session_0,run_0,2,14,0.8855816326530612
206,008-2014,3,session_0,run_0,2,15,0.8856326530612245
207,008-2014,3,session_0,run_0,2,16,0.8856632653061225
208,008-2014,3,session_0,run_0,3,1,0.8384693877551019
209,008-2014,3,session_0,run_0,3,2,0.8591122448979591
210,008-2014,3,session_0,run_0,3,3,0.864173469387755
211,008-2014,3,session_0,run_0,3,4,0.8609183673469388
212,008-2014,3,session_0,run_0,3,5,0.861295918367347
